"state","utility_name","energy_type","ownership_eep_determined","parent"
"IA","Rolfe Municipal Gas - IA","gas","Municipal",NA
"TX","Woodsboro Natural Gas - TX","gas","Municipal",NA
"LA","St Joseph Mun Nat Gas - LA","gas","Municipal",NA
"LA","Village of Elizabeth - LA","gas","Municipal",NA
"IL","Equality Municipal Gas - IL","gas","Municipal",NA
"KY","Sentra Resources - KY","gas","Investor Owned",NA
"FL","Town of Jay - FL","gas","Municipal",NA
"TX","City of Cross Plains - TX","gas","Municipal",NA
"AL","Florala Gas Department - AL","gas","Municipal",NA
"LA","Basile Town of - LA","gas","Municipal",NA
"TX","Kountze City of - TX","gas","Municipal",NA
"MN","City of Round Lake - (MN)","electric","Municipal",NA
"PA","Sar Gas - PA","gas","Investor Owned",NA
"AL","Brookside Gas System - AL","gas","Municipal",NA
"MS","Gloster Town of - MS","gas","Municipal",NA
"MO","Madison City of - MO","gas","Municipal",NA
"OK","Covington Town of - OK","gas","Municipal",NA
"MO","New Florence Municipal Gas - MO","gas","Municipal",NA
"KY","Ferguson City of - KY","gas","Municipal",NA
"IN","Chrisney Municipal Gas Dept - IN","gas","Municipal",NA
"MN","Round Lake City of - MN","gas","Municipal",NA
"MO","Green City Municipal Natural Gas Sys - MO","gas","Municipal",NA
"IA","Moulton Mun Gas Sys - IA","gas","Municipal",NA
"MT","Saco Municipal Gas Svc - MT","gas","Municipal",NA
"IL","City of Grand Tower - IL","gas","Municipal",NA
"TX","Brackettville City of - TX","gas","Municipal",NA
"IA","Allerton Gas Co - IA","gas","Investor Owned",NA
"LA","Vernon Parish Gud 1 - LA","gas","Municipal",NA
"TX","Whiteface City of - TX","gas","Municipal",NA
"LA","Krotz Springs City of - LA","gas","Municipal",NA
"MS","Liberty Town of - MS","gas","Municipal",NA
"LA","Columbia Town of - LA","gas","Municipal",NA
"KS","Denison City of - KS","gas","Municipal",NA
"KY","Paris - KY","gas","Municipal",NA
"KY","White Plains Natural Gas - KY","gas","Municipal",NA
"NY","Rochester Gas And Elec Corp - NY","gas","Investor Owned","Avangrid"
"KS","Uniontown City of - KS","gas","Municipal",NA
"LA","Provencal Village of - LA","gas","Municipal",NA
"TN","Gallaway City of - TN","gas","Municipal",NA
"KS","Sharon City of - KS","gas","Municipal",NA
"KS","Cassoday City of - KS","gas","Municipal",NA
"KS","Mcfarland City of - KS","gas","Municipal",NA
"KS","Sylvia Town of - KS","gas","Municipal",NA
"KS","Winona Gas - KS","gas","Municipal","Midwest Energy, Inc. is the operator"
"IA","Clearfield Nat Gas Co - IA","gas","Municipal",NA
"GA","Richland City of - GA","gas","Municipal",NA
"OK","Wakita Utilities Authority - OK","gas","Municipal",NA
"KY","Guthrie Natural Gas - KY","gas","Municipal",NA
"KS","Partridge City of - KS","gas","Municipal",NA
"TX","Goldsmith City of - TX","gas","Municipal",NA
"GA","Colquitt Gas Sys City of - GA","gas","Municipal",NA
"TX","D & H Gas Co - TX","gas","Investor Owned",NA
"IA","Prescott Mun Nat Gas Co - IA","gas","Municipal",NA
"LA","Sicily Island Gas Co - LA","gas","Municipal",NA
"OK","Freedom Municipal Trust Authority - OK","gas","Municipal",NA
"AL","Rockford Town of - AL","gas","Municipal",NA
"KS","City of Hardtner - KS","gas","Municipal",NA
"MO","Mercer Municipal Natural Gas System - MO","gas","Municipal",NA
"NM","Corona Village of - NM","gas","Municipal",NA
"TX","Daisetta City of - TX","gas","Municipal",NA
"IA","Lineville Mun Nat Gas System - IA","gas","Municipal",NA
"OK","Hardesty Town of - OK","gas","Municipal",NA
"OR","Umpqua Indian Utility Cooperative","electric","Cooperative",NA
"KS","Sawyer City of - KS","gas","Municipal",NA
"OK","Greenlight Gas - TX","gas","Investor Owned",NA
"GA","Andersonville City of - GA","gas","Municipal",NA
"OK","Slick Town of - OK","gas","Municipal",NA
"IA","City of Orange City - (IA)","electric","Municipal",NA
"OK","Wann Public Works Authority - OK","gas","Municipal",NA
"OK","Willow Town of - OK","gas","Municipal",NA
"KS","Abbyville City of - KS","gas","Municipal",NA
"IA","Orange City Municipal Utilities - IA","gas","Municipal",NA
"KY","Millennium Energy Inc - KY","gas","Investor Owned","Atmos"
"KY","Western Lewis Rectorville Gas Dist - KY","gas","Political Subdivision",NA
"IA","Manilla City of - IA","gas","Municipal",NA
"IA","Town of Manilla - (IA)","electric","Municipal",NA
"WV","Standard Gas Co - WV","gas","Investor Owned","Hope Gas"
