"state","utility_name","energy_type","ownership_eep_determined","parent"
"MA","Liberty Utilities Nengc Corp - MA","gas","Investor Owned",NA
"TN","Crockett Public Utility Dist - TN","gas","Political Subdivision",NA
"LA","Gas Util District 2 - LA","gas","Political Subdivision",NA
"VT","Vermont Gas Systems Inc - VT","gas","Investor Owned","Énergir"
"FL","Pensacola Energy - FL","gas","Municipal",NA
"GA","Buford City of - GA","gas","Municipal",NA
"NE","Northwestern Energy - MT","gas","Investor Owned","NorthWest Energy Group"
"AR","Arkansas Oklahoma Gas Corporation - AR","gas","Investor Owned","Summit"
"TX","Universal Natural Gas Inc - TX","gas","Investor Owned","Centric Infrastructure Group"
"NM","Las Cruces Mun Gas - NM","gas","Municipal",NA
"OH","National Gas And Oil Cooperative - OH","gas","Cooperative",NA
"NM","Zia Natural Gas - NM","gas","Investor Owned","Natural Gas Processing, Inc."
"MA","Berkshire Gas Company The - MA","gas","Investor Owned","Avangrid / Iberdola"
"KY","Delta Natural Gas Company - KY","gas","Investor Owned","Essential Utilities, Inc"
"FL","Tallahassee Municipal Gas System - FL","gas","Municipal",NA
"HI","The Gas Company Llc - HI","gas","Investor Owned","Argo Infrastructure Partners"
"TN","Jackson Energy Authority - TN","gas","Municipal",NA
"FL","Clearwater Gas Sys - FL","gas","Municipal",NA
"NH","Northern Utilities Inc - NH","gas","Investor Owned","Unitil"
"MN","Duluth City of - MN","gas","Municipal",NA
"TN","Clarksville Gas Dept - TN","gas","Municipal",NA
"SC","Lancaster Cty Nat Gas Authority - SC","gas","Municipal",NA
"MT","Energy West Montana Inc - MT","gas","Investor Owned","NorthWestern Energy"
"AL","Dekalb Cherokee Counties - AL","gas","Political Subdivision",NA
"TN","Gibson County Utility District - TN","gas","Political Subdivision",NA
"MI","Tri-County Electric Coop Mi","electric","Cooperative",NA
"FL","Utility Board Of The City Of Key West, FL","electric","Municipal",NA
"IN","Ohio Valley Gas Corp - IN","gas","Investor Owned",NA
"WY","Questar Gas Company - ID","gas","Investor Owned","Enbridge"
"ME","Northern Utilities DBA Unitil Corp - ME","gas","Investor Owned","Unitil"
"TX","West Texas Gas Inc - OK","gas","Investor Owned","Tailwater Capital"
"CO","Colorado Natural Gas Inc - CO","gas","Investor Owned","Summit"
"SC","Clinton Newberry Nat Gas Authority - SC","gas","Political Subdivision",NA
"AL","Utilities Board of Trussville - AL","gas","Municipal",NA
"VA","Charlottesville City of - VA","gas","Municipal",NA
"GA","Tri-County Elec Member Corp Ga","electric","Cooperative",NA
"FL","Leesburg City of - FL","gas","Municipal",NA
"WI","Midwest Natural Gas Inc - WI","gas","Investor Owned",NA
"MN","Great Plains Natural Gas Co - MN","gas","Investor Owned","MDU Resources Group"
"VA","Atmos Energy Corporation - CO","gas","Investor Owned",NA
"OH","Suburban Natural Gas Company - OH","gas","Investor Owned",NA
"TX","Grey Forest Util - TX","gas","Municipal",NA
"OH","Knox Energy Cooperative Association - OH","gas","Cooperative",NA
"TN","Gallatin Natural Gas Systems - TN","gas","Municipal",NA
"WY","Montana Dakota Utilities Co - WY","gas","Investor Owned","MDU Resources Group"
"LA","South Coast Gas Co - LA","gas","Investor Owned",NA
"OH","Pioneer Rural Elec Coop, Inc - - (OH)","electric","Cooperative",NA
"AL","Marshall Cty Gas Dist - AL","gas","Municipal",NA
"MI","Citizens Gas Fuel Co - MI","gas","Investor Owned","DTE"
"MO","Summit Natural Gas - MO","gas","Investor Owned","Summit"
"IN","Citizens Energy Group - IN","gas","Political Subdivision",NA
"AL","Florence Natural Gas Dept City of - AL","gas","Municipal",NA
"AL","East Central Alabama Gas District - AL","gas","Political Subdivision",NA
"NC","Rocky Mount City of - NC","gas","Municipal",NA
"MS","Chickasawhay Nat Gas - MS","gas","Political Subdivision",NA
"NY","Liberty Utilities - NY","gas","Investor Owned","Algonquin Power & Utilities Corp"
"GA","Tri-County Natural Gas Authority - GA","gas","Political Subdivision",NA
"LA","Houma Municipal Gas System - LA","gas","Municipal",NA
"OH","Lancaster Municipal Gas - OH","gas","Municipal",NA
"FL","Lake Apopka Natural Gas District - FL","gas","Political Subdivision",NA
"IL","Tri-County Electric Coop, Inc Il","electric","Cooperative",NA
"NY","Corning Nat Gas Corp - NY","gas","Investor Owned","Argo Infrastructure Partners"
"KY","Shelby Energy Co-Op, Inc","electric","Cooperative",NA
"AL","Decatur Util Gas Dept - AL","gas","Municipal",NA
"AL","Wilcox County Gas District - AL","gas","Political Subdivision",NA
"MI","Presque Isle E And G Coop - MI","gas","Cooperative",NA
"VA","Danville City of - VA","gas","Municipal",NA
"IN","Midwest Natural Gas - IN","gas","Investor Owned",NA
"IA","Cedar Falls Util - IA","gas","Municipal",NA
"TX","Centerpoint Energy Arkla - TX","gas","Investor Owned","CenterPoint"
"AR","Paragould Light & Water Comm","electric","Municipal",NA
"TN","West Tennessee Public Utility Dist - TN","gas","Political Subdivision",NA
"GA","Sugar Hill City of - GA","gas","Municipal",NA
"SC","Fountain Inn Natural Gas - SC","gas","Municipal",NA
"MD","Chesapeake Utilities Corporation - MD","gas","Investor Owned",NA
"AL","Southeast Alabama Gas District - AL","gas","Political Subdivision",NA
"OK","Tri-County Electric Coop, Inc Ok","electric","Cooperative",NA
"WI","Superior Water Light And Power Co - WI","gas","Investor Owned","Allete"
"GA","Cartersville Gas System - GA","gas","Municipal",NA
"VT","Washington Electric Coop - (VT)","electric","Cooperative",NA
"TN","Smyrna Nat Gas Sys - TN","gas","Municipal",NA
"TN","Cookeville Gas Department - TN","gas","Municipal",NA
"TN","Humphreys County Utilities Dist - TN","gas","Political Subdivision",NA
"OK","Arkansas Oklahoma Gas Corporation - OK","gas","Investor Owned","Summit"
"MA","Town of Wakefield - (MA)","electric","Municipal",NA
"MD","Sandpiper Energy - MD","gas","Investor Owned","Chesapeake"
"AL","Pickens County Natural Gas District - AL","gas","Political Subdivision",NA
"MA","Holyoke City of - MA","gas","Municipal",NA
"TN","Sevier Cty Util Dist - TN","gas","Municipal",NA
"GA","Albany Wtr Gas Lt Comm - GA","gas","Municipal",NA
"TN","Lebanon City of - TN","gas","Municipal",NA
"MN","Greater Minnesota Gas Inc - MN","gas","Investor Owned","Greater Minnesota Synergy"
"TN","Springfield Gas Sys - TN","gas","Municipal",NA
"IA","Waukee Municipal Gas - IA","gas","Municipal",NA
"OH","Consumers Gas Coop - OH","gas","Cooperative",NA
"KY","Henderson Municipal Gas - KY","gas","Municipal",NA
"IL","Illinois Gas Company - IL","gas","Investor Owned",NA
"GA","Winder City of - GA","gas","Municipal",NA
"WI","St Croix Valley Nat Gas Inc - WI","gas","Investor Owned","Piepgras Holding Company"
"IN","Citizens Gas of Westfield - IN","gas","Municipal",NA
"TN","Lexington Gas System - TN","gas","Municipal",NA
"KY","Elizabethtown City of - KY","gas","Municipal",NA
"AL","Fultondale Gas Board - AL","gas","Municipal",NA
"GA","Lagrange City of - GA","gas","Municipal",NA
"OH","Waterville Gas And Oil Co - OH","gas","Investor Owned",NA
"AL","North Alabama Gas District - AL","gas","Political Subdivision",NA
"KY","Murray City of - KY","gas","Municipal",NA
"TN","Munford City of - TN","gas","Municipal",NA
"TN","Greater Dickson Gas Authority - TN","gas","Political Subdivision",NA
"TN","Claiborne Utilities District - TN","gas","Political Subdivision",NA
"SC","Laurens Commission of Public Works - SC","gas","Municipal",NA
"AZ","Graham County Electric Coop Inc","electric","Cooperative",NA
"WV","Cardinal Bluefield Gas Co","gas","Investor Owned","Utility Pipeline, Ltd. (UPL"
"IN","Community Natural Gas Co Inc - IN","gas","Investor Owned",NA
"SC","Orangeburg Dept of Pub Util - SC","gas","Municipal",NA
"WV","Union Oil And Gas Inc - WV","gas","Investor Owned",NA
"NE","Metropolitan Utilities Dist of Omaha - NE","gas","Political Subdivision",NA
"IN","Sycamore Gas Co - IN","gas","Investor Owned","Ullico Inc"
"IN","Indiana Natural Gas Corp - IN","gas","Investor Owned","Midwest Natural Gas Corporation"
"IA","Consumers Energy","electric","Cooperative",NA
"SC","Chester Cty Nat Gas Auth - SC","gas","Municipal",NA
"TN","Dyersburg Gas System - TN","gas","Municipal",NA
